Route Number,Name,Direction,Stops,,,,,,,,
1,Bonfire,Reed Arena,"Commons, 676 Lubbock St, College Station, TX 77840",Ross and Bizzell - North,Ross and Ireland - North,Asbury Water Tower,Kleberg - Outbound,Rec Center,Lot 100 G,"Reed Arena, 730 Olsen Blvd, College Station, TX 77843",
1,,Commons,"Reed Arena, 730 Olsen Blvd, College Station, TX 77843",Kleberg - Inbound,"MSC - ILCB, 215 Lamar St, College Station, TX 77844","Fish Pond, Military Walk, College Station, TX 77840",Ross and Ireland (South),Ross and Bizzell (South),"Southside Rec Center, 633 Bizzell St, College Station, TX 77843",Lewis Street,"Commons, 676 Lubbock St, College Station, TX 77840"
3,Yell Practice,White Creek/Vet School,"MSC, 275 Joe Routt Blvd, College Station, TX 77840",Beutel,Wehner - Outbound,School of Public Health - Outbound,White Creek 1,White Creek 2,Lot 101,NCTM,VTED
3,,"MSC, 275 Joe Routt Blvd, College Station, TX 77840",VTED,Houston Building,White Creek Community Center,School of Public Health - Inbound,Wehner - Inbound,"MSC, 275 Joe Routt Blvd, College Station, TX 77840",,,
4,Gig Em,Becky Gates Center,Asbury Water Tower,"Fish Pond, Military Walk, College Station, TX 77840",Ross and Ireland - South,Ross and Bizzell - South,Wisenbaker - East,The Gardens,"Becky Gates Center, 1125 Hensel Dr, College Station, TX 77840",,
,,Asbury Water Tower,Hensel @ Texas,"Zachry, 125 Spence St, College Station, TX 77843",Ross and Bizzell - North,Ross and Ireland - North,Asbury Water Tower,,,,
5,Bush School,Bush School/UPD,"MSC, 275 Joe Routt Blvd, College Station, TX 77840",Kleberg - Outbound,Reed Arena/Lot 97,Ag Building - Outbound,GGB,Bush School - Outbound,GERB,Lot 108/UPD,
,,"MSC, 275 Joe Routt Blvd, College Station, TX 77840",Technology Loop,Lot 41/43,Bush School 0 Inbound,GGB,Ag Building - Inbound,"Reed Arena, 730 Olsen Blvd, College Station, TX 77843",Kleberg - Inbound,"MSC - ILCB, 215 Lamar St, College Station, TX 77844","MSC, 275 Joe Routt Blvd, College Station, TX 77840"
6,12th man,"GSC, 750 Agronomy Rd, College Station, TX 77840","MSC, 275 Joe Routt Blvd, College Station, TX 77840",Beutel,Wehner - Outbound,Vet School - Outbound,Transit - Outbound,Facilities Services - Outbound,"GSC, 750 Agronomy Rd, College Station, TX 77840",,
,,"MSC, 275 Joe Routt Blvd, College Station, TX 77840","GSC, 750 Agronomy Rd, College Station, TX 77840",Facilities Services - Inbound,Transit - Inbound,Lot 71,Vet School - Inbound,Wehner - Inbound,"MSC, 275 Joe Routt Blvd, College Station, TX 77840",,
8,Howdy,"Park West, 503 George Bush Dr W, College Station, TX 77840","MSC Bus Stop, College Station, TX 77840","A.P. Beutel Health Center, 311 Houston St Bldg. 520, College Station, TX 77843","Kleberg Center, College Station, TX 77845","420 John Kimbrough Blvd, College Station, TX 77845",,"Texas A&M University, Physical Education Activity Program Building 4245, 632 Penberthy Blvd, College Station, TX 77843",,"503 George Bush Dr W, College Station, TX 77840",
,,"MSC, 275 Joe Routt Blvd, College Station, TX 77840","Park West, 503 George Bush Dr W, College Station, TX 77840",Olsen Field @ Blue Bell Park,Rec Center,Kleberg - Inbound,"MSC, 275 Joe Routt Blvd, College Station, TX 77840",,,,
,,,,,,,,,,,
List of all bus stops,bonfire,yell practice,gig em,bush school,12th man,howdy,,,,,
MSC,,x,,x,x,x,,,,,
Ross and Ireland,x,,x,,,,,,,,
Rec Center,x,,,,,x,,,,,
Ross and Bizzell,x,,x,,,,,,,,
Commons,x,,,,,,,,,,
Asbury Water Tower,x,,x,,,,,,,,
Kleberg,x,,,x,,x,,,,,
White Creek,,x,,,,,,,,,
GSC,,,,,x,,,,,,
Wehner,,x,,,x,,,,,,
Ag,,,,,,,,,,,
Reed Arena,x,,,x,,,,,,,
ILCB,x,,,x,,,,,,,
Vet School,,x,,,x,,,,,,
Fish Pond,x,,x,,,,,,,,
Park West,,,,,,,,,,,
Bush School,,,,x,,,,,,,
